date;open;high;low;close;volume;;;
05/22/14;19,099;19,201;19,02;19,12;200875780;;;
05/23/14;19,119;19,355;19,095;19,336;232209964;;;
05/26/14;19,119;19,355;19,095;19,336;232209964;;;
05/27/14;19,391;19,705;19,383;19,698;348866420;;;
05/28/14;19,71;19,83;19,64;19,647;315687540;;;
05/29/14;19,768;20,052;19,765;20,005;376474532;;;
05/30/14;20,087;20,282;19,801;19,93;564020548;;;
06/02/14;19,96;19,987;19,599;19,793;369351612;;;
06/03/14;19,787;20,111;19,78;20,073;292926480;;;
06/04/14;20,07;20,399;20,028;20,302;335482084;;;
06/05/14;20,345;20,445;20,232;20,382;303804564;;;
06/06/14;20,462;20,505;20,291;20,326;350483644;;;
06/09/14;20,43;20,691;20,221;20,651;301659216;;;
06/10/14;20,878;20,948;20,622;20,772;251108168;;;
06/11/14;20,746;20,884;20,6;20,686;182724456;;;
06/12/14;20,726;20,743;20,254;20,34;218995164;;;
06/13/14;20,32;20,373;20,029;20,118;218101120;;;
06/16/14;20,168;20,442;20,155;20,32;142245080;;;
06/17/14;20,345;20,43;20,232;20,294;118905388;;;
06/18/14;20,336;20,34;20,133;20,316;134056432;;;
06/19/14;20,34;20,342;20,131;20,245;142110744;;;
06/20/14;20,243;20,397;20,034;20,036;403592264;;;
06/23/14;20,126;20,192;19,968;20,018;174777564;;;
06/24/14;20,001;20,219;19,877;19,897;156144348;;;
06/25/14;19,882;19,99;19,758;19,915;147474164;;;
06/26/14;19,917;20,067;19,791;20,034;130517436;;;
06/27/14;20,016;20,276;20,005;20,272;256115212;;;
06/30/14;20,298;20,656;20,296;20,481;198356112;;;
07/01/14;20,611;20,732;20,525;20,611;152893908;;;
07/02/14;20,687;20,73;20,516;20,602;113860292;;;
07/03/14;20,644;20,739;20,541;20,724;91567012;;;
07/04/14;20,644;20,739;20,541;20,724;91567012;;;
07/07/14;20,748;21,156;20,739;21,151;225871756;;;
07/08/14;21,217;21,334;20,699;21,015;260886712;;;
07/09/14;21,034;21,147;20,884;21,023;145745760;;;
07/10/14;20,664;21,059;20,611;20,945;158742208;;;
07/11/14;21,017;21,134;20,907;20,986;136072912;;;
07/14/14;21,127;21,354;21,081;21,257;171240620;;;
07/15/14;21,334;21,345;20,944;21,008;182784704;;;
07/16/14;21,372;21,4;20,88;20,889;214009660;;;
07/17/14;20,944;20,999;20,402;20,516;229192972;;;
07/18/14;20,633;20,88;20,501;20,812;199950372;;;
07/21/14;20,935;20,937;20,655;20,704;156316008;;;
07/22/14;20,867;20,913;20,743;20,876;220786388;;;
07/23/14;21,03;21,572;20,975;21,42;371670876;;;
07/24/14;21,386;21,449;21,25;21,385;182915372;;;
07/25/14;21,345;21,563;21,299;21,526;173876468;;;
07/28/14;21,559;21,872;21,499;21,823;221270756;;;
07/29/14;21,892;21,916;21,654;21,682;172572380;;;
07/30/14;21,696;21,753;21,526;21,632;132040004;;;
07/31/14;21,413;21,477;21,01;21,07;227370588;;;
08/01/14;20,915;21,294;20,896;21,186;194045144;;;
08/04/14;21,239;21,286;20,975;21,067;159832576;;;
08/05/14;21,017;21,087;20,796;20,964;223730652;;;
08/06/14;20,882;21,043;20,873;20,929;154233368;;;
08/07/14;21,026;21,252;20,842;20,926;186844716;;;
08/08/14;20,878;21,002;20,661;20,984;167460772;;;
08/11/14;21,101;21,281;21,005;21,261;146339376;;;
08/12/14;21,272;21,458;21,177;21,256;135181408;;;
08/13/14;21,296;21,538;21,272;21,538;127665756;;;
08/14/14;21,558;21,611;21,44;21,595;112462264;;;
08/15/14;21,684;21,748;21,453;21,702;195805324;;;
08/18/14;21,815;22,009;21,702;21,963;190289652;;;
08/19/14;22,018;22,3;21,998;22,266;277597080;;;
08/20/14;22,246;22,39;22,138;22,275;210796768;;;
08/21/14;22,275;22,357;22,173;22,277;133912792;;;
08/22/14;22,213;22,475;22,191;22,441;176735336;;;
08/25/14;22,545;22,63;22,432;22,49;161080692;;;
08/26/14;22,463;22,481;22,339;22,346;132607936;;;
08/27/14;22,375;22,718;22,304;22,621;209476044;;;
08/28/14;22,501;22,765;22,494;22,647;273839204;;;
08/29/14;22,782;22,791;22,636;22,703;178380988;;;
09/01/14;22,782;22,791;22,636;22,703;178380988;;;
09/02/14;22,827;22,977;22,751;22,88;214257048;;;
09/03/14;22,836;22,858;21,834;21,914;501682084;;;
09/04/14;21,894;22,169;21,659;21,733;342872884;;;
09/05/14;21,883;22,014;21,775;21,921;233828140;;;
09/08/14;21,994;21,996;21,717;21,786;185426968;;;
09/09/14;21,945;22,831;21,294;21,704;759385020;;;
09/10/14;21,708;22,395;21,653;22,37;403478348;;;
09/11/14;22,24;22,468;22,065;22,466;249598972;;;
09/12/14;22,417;22,634;22,388;22,517;256387612;;;
09/15/14;22,771;22,825;22,468;22,51;245266064;;;
09/16/14;22,105;22,428;21,903;22,339;267632532;;;
09/17/14;22,43;22,548;22,28;22,499;243705992;;;
09/18/14;22,576;22,669;22,494;22,545;149197740;;;
09/19/14;22,656;22,669;22,344;22,362;283609624;;;
09/22/14;22,548;22,623;22,277;22,384;211153704;;;
09/23/14;22,282;22,8;22,269;22,734;253608784;;;
09/24/14;22,627;22,78;22,415;22,537;240687312;;;
09/25/14;22,262;22,306;21,644;21,677;400367960;;;
09/26/14;21,823;22,315;21,795;22,315;249482004;;;
09/29/14;21,85;22,245;21,846;22,173;199065248;;;
09/30/14;22,328;22,49;22,266;22,315;221056556;;;
10/01/14;22,28;22,302;21,861;21,967;205965144;;;
10/02/14;21,987;22,198;21,715;22,127;191031312;;;
10/03/14;22,025;22,195;21,936;22,065;173878340;;;
10/06/14;22,138;22,293;22,021;22,065;148204728;;;
10/07/14;22,023;22,176;21,868;21,872;168376732;;;
10/08/14;21,874;22,395;21,775;22,326;229618696;;;
10/09/14;22,49;22,676;22,284;22,375;309506100;;;
10/10/14;22,302;22,599;22,215;22,311;265326368;;;
10/13/14;22,444;22,543;22,107;22,107;214333472;;;
10/14/14;22,235;22,264;21,832;21,872;254754248;;;
10/15/14;21,699;21,961;21,081;21,604;403734400;;;
10/16/14;21,163;21,644;21,132;21,321;288618092;;;
10/17/14;21,595;21,927;21,442;21,633;272718752;;;
10/20/14;21,776;22,14;21,755;22,096;310069116;;;
10/21/14;22,818;22,818;22,43;22,696;378495616;;;
10/22/14;22,778;23,059;22,725;22,811;273052584;;;
10/23/14;23,053;23,268;22,953;23,219;284298696;;;
10/24/14;23,296;23,365;23,152;23,305;188215664;;;
10/27/14;23,223;23,363;23,19;23,281;136750804;;;
10/28/14;23,345;23,642;23,334;23,642;192243796;;;
10/29/14;23,622;23,781;23,558;23,775;210751516;;;
10/30/14;23,69;23,777;23,456;23,695;162619172;;;
10/31/14;23,923;23,93;23,746;23,921;178557140;;;
11/03/14;23,97;24,43;23,923;24,231;209130200;;;
11/04/14;24,222;24,251;23,859;24,054;166297460;;;
11/05/14;24,165;24,209;23,949;24,111;149743620;;;
11/06/14;24,158;24,2;23,98;24,18;139873828;;;
11/07/14;24,191;24,318;24,147;24,249;134766140;;;
